feature,importance
complains,0.03063257726179084
call_failure_rate,0.014299563175967723
status,0.012980915228106293
tenure_age_ratio,0.011220771333130953
seconds_of_use,0.01094629633955484
subscription_length,0.009041323086266938
frequency_of_use,0.007906047793688276
avg_seconds_per_call,0.006426218785769444
calls_per_month,0.005927491882548108
value_per_call,0.0023943563269406497
usage_per_month,0.0019365086780818053
age_group,0.0018383984676119901
usage_value_efficiency,0.001604802728398269
distinct_called_numbers,0.001516036347497074
complaint_status_interaction,0.0013653670957042175
call_failure,0.0010126375294915002
value_per_month,0.0009191992338060228
age,0.0006704197715434179
sms_per_call,0.000494054988437076
calls_per_contact,0.0003293699922913951
charge_value_gap,2.803148870572647e-05
charge_amount,1.1679786960727689e-05
tariff_plan,2.335957392141097e-06
customer_value,-0.00017169286832201535
contact_diversity_ratio,-0.00022892382442938342
frequency_of_sms,-0.00025345137704685383
sms_per_month,-0.0004753673292998362
